	filename	determiner	monotonicity	gold_label	replace_target	replace_source	replace_mode	ori_sentence	new_sentence
0	silver/p75/d3454	neither	downward_monotone	entailment	neither one of his parents	neither parents	simple	Tom said that neither parents had ever been to Boston .	Tom said that neither one of his parents had ever been to Boston .
1	silver/p14/d0959	neither	downward_monotone	entailment	neither of them	neither them	simple	I know neither them .	I know neither of them .
2	silver/p24/d2663	neither	downward_monotone	entailment	neither of his brothers	neither brothers	simple	I know neither brothers .	I know neither of his brothers .
3	silver/p24/d2663	neither	downward_monotone	neutral	brothers	friends	noun_hypernym_obj	I know neither of his brothers .	I know neither of his friends .
4	silver/p24/d2663	neither	downward_monotone	entailment	brothers	friends	noun_hypernym_obj	I know neither of his friends .	I know neither of his brothers .
5	silver/p24/d2663	neither	downward_monotone	entailment	brothers	cobbers	noun_hyponym_obj	I know neither of his brothers .	I know neither of his cobbers .
6	silver/p24/d2663	neither	downward_monotone	neutral	brothers	cobbers	noun_hypernym_obj	I know neither of his cobbers .	I know neither of his brothers .
7	silver/p55/d3289	neither	downward_monotone	entailment	neither of us	neither us	simple	He knows neither us .	He knows neither of us .
8	silver/p55/d3289	neither	downward_monotone	neutral	us	letters	noun_hypernym_obj	He knows neither of us .	He knows neither of letters .
9	silver/p55/d3289	neither	downward_monotone	entailment	us	letters	noun_hypernym_obj	He knows neither of letters .	He knows neither of us .
10	silver/p55/d3289	neither	downward_monotone	neutral	us	letters of the alphabet	noun_hypernym_obj	He knows neither of us .	He knows neither of letters of the alphabet .
11	silver/p55/d3289	neither	downward_monotone	entailment	us	letters of the alphabet	noun_hypernym_obj	He knows neither of letters of the alphabet .	He knows neither of us .
12	silver/p55/d3289	neither	downward_monotone	neutral	us	alphabetic characters	noun_hypernym_obj	He knows neither of us .	He knows neither of alphabetic characters .
13	silver/p55/d3289	neither	downward_monotone	entailment	us	alphabetic characters	noun_hypernym_obj	He knows neither of alphabetic characters .	He knows neither of us .
14	silver/p46/d3150	neither	downward_monotone	entailment	neither of the two sisters	neither sisters	simple	I know neither sisters .	I know neither of the two sisters .
15	silver/p46/d3150	neither	downward_monotone	neutral	sisters	members	noun_hypernym_obj	I know neither of the two sisters .	I know neither of the two members .
16	silver/p46/d3150	neither	downward_monotone	entailment	sisters	members	noun_hypernym_obj	I know neither of the two members .	I know neither of the two sisters .
17	silver/p46/d3150	neither	downward_monotone	neutral	sisters	fellow members	noun_hypernym_obj	I know neither of the two sisters .	I know neither of the two fellow members .
18	silver/p46/d3150	neither	downward_monotone	entailment	sisters	fellow members	noun_hypernym_obj	I know neither of the two fellow members .	I know neither of the two sisters .
19	silver/p46/d3150	neither	downward_monotone	entailment	sisters	Beguines	noun_hyponym_obj	I know neither of the two sisters .	I know neither of the two Beguines .
20	silver/p46/d3150	neither	downward_monotone	neutral	sisters	Beguines	noun_hypernym_obj	I know neither of the two Beguines .	I know neither of the two sisters .
